,Topic,Count,Name,Representation,KeyBERT,Representative_Docs
44,44,111,44_وبركاته_واخص_بالشكر_واخص بالذكر,"['وبركاته', 'واخص', 'بالشكر', 'واخص بالذكر', 'بالذكر', 'لـ', 'بالاخص', 'الاول', 'واشكر', '']","['وبركاته', 'بالشكر', 'بالذكر', '', '', '', '', '', '', '']","['وبركاته', 'وبركاته', 'وبركاته']"
45,45,110,45_والطاقم الاداري_الاداري_الناس_والطاقم,"['والطاقم الاداري', 'الاداري', 'الناس', 'والطاقم', 'الموظفات', 'المشرفات', 'يوجد', 'يشكر', 'الناس يشكر الله', 'الناس يشكر']","['والطاقم الاداري', 'الطاقم الاداري', 'والطاقم', 'اداري', 'والكادر', 'طاقم', 'الاستقبال', 'المشرفات', 'الاداري', 'يشكر']","['والطاقم الاداري', 'والطاقم الاداري', 'والطاقم الاداري']"
46,46,99,46_والتقدير_تحياتي__,"['والتقدير', 'تحياتي', '', '', '', '', '', '', '', '']","['والتقدير', 'تحياتي', '', '', '', '', '', '', '', '']","['والتقدير', 'والتقدير', 'والتقدير']"
47,47,97,47_ومعلمات_وراءعين_الدين_وراءعه,"['ومعلمات', 'وراءعين', 'الدين', 'وراءعه', 'امانه', 'اهتمام', '', '', '', '']","['ومعلمات', 'الدين', 'اهتمام', 'امانه', 'وراءعين', 'وراءعه', '', '', '', '']","['ومعلمات', 'ومعلمات', 'ومعلمات']"
48,48,96,48_ومتعاونه_والاداري_الامهات_ومتعاونين,"['ومتعاونه', 'والاداري', 'الامهات', 'ومتعاونين', 'للاهل', 'ونظيف', 'ومتعاون', 'جددا', 'الاهالي', 'الاهل']","['ومتعاونه', 'ومتعاون', 'ومتعاونين', 'ونظيف', 'والاداري', 'جددا', 'الاهالي', 'مره', 'الاهل', 'الجميع']","['ومتعاونه', 'ومتعاونه', 'ومتعاونه']"
49,49,94,49_اهتمام_وتقدير_واستقبال_اهتماام,"['اهتمام', 'وتقدير', 'واستقبال', 'اهتماام', 'صدر', '', '', '', '', '']","['اهتمام', 'وتقدير', 'واستقبال', 'اهتماام', 'صدر', '', '', '', '', '']","['اهتمام', 'اهتمام', 'اهتمام']"
50,50,93,50_ومرتبه_وحرصهم_والتميز_,"['ومرتبه', 'وحرصهم', 'والتميز', '', '', '', '', '', '', '']","['ومرتبه', 'والتميز', 'وحرصهم', '', '', '', '', '', '', '']","['ومرتبه', 'ومرتبه', 'ومرتبه']"
51,51,90,51_المركز جميل_واداريات_جميل_والامان,"['المركز جميل', 'واداريات', 'جميل', 'والامان', 'المركز', 'الاختيار', 'الامن', 'جد', '', '']","['المركز جميل', 'المركز', 'والامان', 'جميل', 'جد', 'الاختيار', 'الامن', 'واداريات', '', '']","['المركز جميل', 'المركز جميل', 'المركز جميل']"
52,52,88,52_والنجاح_واحتواء_الكامل_,"['والنجاح', 'واحتواء', 'الكامل', '', '', '', '', '', '', '']","['والنجاح', 'الكامل', '', '', '', '', '', '', '', '']","['والنجاح', 'والنجاح', 'والنجاح']"
53,53,87,53_واداره_واحترام_ومتميز_والعرفان,"['واداره', 'واحترام', 'ومتميز', 'والعرفان', 'وممتاز', 'والاستجابه', '', '', '', '']","['واداره', 'واحترام', 'والعرفان', 'والاستجابه', 'ومتميز', '', '', '', '', '']","['واداره', 'واداره', 'واداره']"
